U Distrito,Partido candidato de la coalición,Estado,Numero distrito,Cabecera Distrital,MEDIA,RANGO MENOR,RANGO MAYOR,PROBABILIDAD FINAL
E8D2,PRD,CHIHUAHUA,2,JUAREZ,0.293285411,0.182999218,0.424699516,0.80%
E13D2,PAN,HIDALGO,2,IXMIQUILPAN,0.284495965,0.137814964,0.459277157,0.75%
E7D3,RSP,CHIAPAS,3,OCOSINGO,0.119043724,0,0.381198818,0.70%
E27D2,PRD,TABASCO,2,HEROICA CARDENAS,0.280869895,0.107993357,0.486864995,0.70%
E12D5,PRD,GUERRERO,5,TLAPA,0.280350896,0.151446725,0.433949690,0.67%
E11D12,PRI,GUANAJUATO,12,CELAYA,0.112647607,0,0.289241209,0.66%
E9D23,PAN,CIUDAD DE MÉXICO,23,COYOACAN,0.337456416,0.237892519,0.456094118,0.59%
E20D1,PRD,OAXACA,1,SAN JUAN BAUTISTA TUXTEPEC,0.246571549,0.107232936,0.412603747,0.56%
E15D29,MC,MÉXICO,29,CD. NEZAHUALCOYOTL,0.104592376,0,0.343994067,0.53%
E25D5,PRI,SINALOA,5,CULIACAN DE ROSALES,0.268328766,0.117202812,0.448406448,0.52%
E11D6,MORENA,GUANAJUATO,6,LEON,0.200422245,0.178884001,0.226086645,0.52%
E1D2,PRI,AGUASCALIENTES,2,AGUASCALIENTES,0.187937240,0.073724074,0.324030621,0.49%
E31D3,PVEM,YUCATÁN,3,MERIDA,0.068552917,0,0.290216026,0.49%
E15D2,PRD,MÉXICO,2,SANTA MARIA TULTEPEC,0.327784406,0.238890842,0.433707621,0.48%
E20D2,PRD,OAXACA,2,TEOTITLAN DE FLORES MAGON,0.256833671,0.102714809,0.440477622,0.48%
E8D8,PRI,CHIHUAHUA,8,CHIHUAHUA,0.133783308,0,0.322213263,0.47%
E20D9,PRI,OAXACA,9,PUERTO ESCONDIDO,0.256943698,0.104834170,0.438193381,0.45%
E16D8,PRI,MICHOACÁN,8,MORELIA,0.293050418,0.204127611,0.399008478,0.44%
E15D22,PRI,MÉXICO,22,NAUCALPAN DE JUAREZ,0.146165071,0,0.323039071,0.41%
E11D4,PVEM,GUANAJUATO,4,GUANAJUATO,0.091729067,0,0.187301952,0.41%
E11D9,PVEM,GUANAJUATO,9,IRAPUATO,0.096296222,0,0.251921772,0.39%
E5D3,PAN,COAHUILA,3,MONCLOVA,0.146260804,0.051359021,0.259343254,0.39%
E22D3,PRI,QUERÉTARO,3,SANTIAGO DE QUERETARO,0.133845781,0,0.319850630,0.39%
E20D3,PRI,OAXACA,3,HEROICA CIUDAD DE HUAJUAPAN DE LEON,0.252340834,0.086549297,0.449893634,0.38%
E20D10,PAN,OAXACA,10,MIAHUATLAN DE PORFIRIO DIAZ,0.292407883,0.170316725,0.437888470,0.38%
E11D1,PVEM,GUANAJUATO,1,SAN LUIS DE LA PAZ,0.104367037,0,0.216597086,0.33%
E31D1,ES,YUCATÁN,1,VALLADOLID,0.042643185,0,0.212012886,0.24%
E11D13,PRI,GUANAJUATO,13,VALLE DE SANTIAGO,0.146325553,0.028667339,0.286523963,0.23%
E25D7,PRI,SINALOA,7,CULIACAN DE ROSALES,0.249726061,0.105342116,0.421770144,0.23%
E9D2,PRI,CIUDAD DE MÉXICO,2,GUSTAVO A. MADERO,0.324865767,0.232592244,0.434816451,0.22%
