Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,Rango menor,Rango mayor
RSP,E12D9,GUERRERO,ACAPULCO,0.0262,0,0.0709
ES,E13D1,HIDALGO,HUEJUTLA DE REYES,0.1225,0.0511,0.2076
MC,E13D1,HIDALGO,HUEJUTLA DE REYES,0.0286,0,0.0619
MORENA,E13D1,HIDALGO,HUEJUTLA DE REYES,0.4650,0.3287,0.6274
OTROS,E13D1,HIDALGO,HUEJUTLA DE REYES,0.0553,0,0.1511
PRI,E13D1,HIDALGO,HUEJUTLA DE REYES,0.2858,0.1108,0.4943
RSP,E13D1,HIDALGO,HUEJUTLA DE REYES,0.0458,0.0243,0.0714
ES,E13D2,HIDALGO,IXMIQUILPAN,0.0418,0,0.1222
MC,E13D2,HIDALGO,IXMIQUILPAN,0.0277,0.0053,0.0544
OTROS,E13D2,HIDALGO,IXMIQUILPAN,0.0395,0,0.1208
PAN,E13D2,HIDALGO,IXMIQUILPAN,0.2932,0.1390,0.4770
PVEM,E13D2,HIDALGO,IXMIQUILPAN,0.5596,0.4420,0.6997
RSP,E13D2,HIDALGO,IXMIQUILPAN,0.0420,0.0312,0.0548
ES,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.0497,0,0.1234
MC,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.0378,0,0.0760
MORENA,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.5900,0.4822,0.7185
OTROS,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.0451,0,0.1175
PAN,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.2393,0.1066,0.3975
RSP,E13D4,HIDALGO,TULANCINGO DE BRAVO,0.0584,0.0384,0.0821
ES,E13D5,HIDALGO,TULA DE ALLENDE,0.0426,0,0.1123
MC,E13D5,HIDALGO,TULA DE ALLENDE,0.0344,0,0.0706
MORENA,E13D5,HIDALGO,TULA DE ALLENDE,0.5899,0.4891,0.7101
OTROS,E13D5,HIDALGO,TULA DE ALLENDE,0.0418,0,0.1152
PRD,E13D5,HIDALGO,TULA DE ALLENDE,0.2614,0.1459,0.3991
RSP,E13D5,HIDALGO,TULA DE ALLENDE,0.0406,0.0190,0.0663
ES,E13D6,HIDALGO,PACHUCA DE SOTO,0.0538,0,0.1376
MC,E13D6,HIDALGO,PACHUCA DE SOTO,0.0301,0,0.0629
MORENA,E13D6,HIDALGO,PACHUCA DE SOTO,0.5545,0.4394,0.6916
OTROS,E13D6,HIDALGO,PACHUCA DE SOTO,0.0362,0,0.0980
PRI,E13D6,HIDALGO,PACHUCA DE SOTO,0.2581,0.1332,0.4069
RSP,E13D6,HIDALGO,PACHUCA DE SOTO,0.0422,0.0122,0.0778
ES,E13D3,HIDALGO,ACTOPAN,0.0579,0,0.1470
MC,E13D3,HIDALGO,ACTOPAN,0.0268,0.0114,0.0452
MORENA,E13D3,HIDALGO,ACTOPAN,0.4585,0.4308,0.4915
OTROS,E13D3,HIDALGO,ACTOPAN,0.0359,0,0.1084
PRD,E13D3,HIDALGO,ACTOPAN,0.2442,0.0671,0.4552
PT,E13D3,HIDALGO,ACTOPAN,0.0446,0.0276,0.0649
PVEM,E13D3,HIDALGO,ACTOPAN,0.0982,0,0.2555
RSP,E13D3,HIDALGO,ACTOPAN,0.0931,0.0799,0.1090
ES,E13D7,HIDALGO,TEPEAPULCO,0.0367,0,0.0956
MC,E13D7,HIDALGO,TEPEAPULCO,0.0178,0,0.0530
MORENA,E13D7,HIDALGO,TEPEAPULCO,0.4293,0.4071,0.4558
OTROS,E13D7,HIDALGO,TEPEAPULCO,0.0383,0,0.0989
PRI,E13D7,HIDALGO,TEPEAPULCO,0.2400,0.1245,0.3777
PT,E13D7,HIDALGO,TEPEAPULCO,0.0315,0.0206,0.0445
PVEM,E13D7,HIDALGO,TEPEAPULCO,0.0985,0,0.2117
RSP,E13D7,HIDALGO,TEPEAPULCO,0.0978,0.0728,0.1277
ES,E14D1,JALISCO,TEQUILA,0.0209,0,0.0682
MC,E14D1,JALISCO,TEQUILA,0.1663,0.0708,0.2800
MORENA,E14D1,JALISCO,TEQUILA,0.3504,0.2464,0.4743
OTROS,E14D1,JALISCO,TEQUILA,0.0335,0,0.0928
PAN,E14D1,JALISCO,TEQUILA,0.3569,0.2118,0.5298
RSP,E14D1,JALISCO,TEQUILA,0.0130,0,0.0423
ES,E14D4,JALISCO,ZAPOPAN,0.0104,0,0.0542
MC,E14D4,JALISCO,ZAPOPAN,0.1933,0.0583,0.3540
OTROS,E14D4,JALISCO,ZAPOPAN,0.0304,0,0.1120
PRI,E14D4,JALISCO,ZAPOPAN,0.3269,0.1704,0.5135
PVEM,E14D4,JALISCO,ZAPOPAN,0.3682,0.2519,0.5067
RSP,E14D4,JALISCO,ZAPOPAN,0.0046,0,0.0394
ES,E14D5,JALISCO,PUERTO VALLARTA,0.0117,0,0.0770
MC,E14D5,JALISCO,PUERTO VALLARTA,0.1933,0.0553,0.3578
MORENA,E14D5,JALISCO,PUERTO VALLARTA,0.4019,0.2852,0.5410
OTROS,E14D5,JALISCO,PUERTO VALLARTA,0.0262,0,0.1137
PRD,E14D5,JALISCO,PUERTO VALLARTA,0.2904,0.1151,0.4992
RSP,E14D5,JALISCO,PUERTO VALLARTA,0.0025,0,0.0276
ES,E14D6,JALISCO,ZAPOPAN,0.0233,0,0.0754
MC,E14D6,JALISCO,ZAPOPAN,0.2182,0.0650,0.4007
OTROS,E14D6,JALISCO,ZAPOPAN,0.0398,0,0.1241
PAN,E14D6,JALISCO,ZAPOPAN,0.3416,0.1747,0.5405
PVEM,E14D6,JALISCO,ZAPOPAN,0.3524,0.2505,0.4738
RSP,E14D6,JALISCO,ZAPOPAN,0.0050,0,0.0507
ES,E14D7,JALISCO,TONALA,0.0216,0,0.0833
MC,E14D7,JALISCO,TONALA,0.2034,0.0618,0.3722
OTROS,E14D7,JALISCO,TONALA,0.0293,0,0.1070
PRI,E14D7,JALISCO,TONALA,0.2799,0.1107,0.4816
PVEM,E14D7,JALISCO,TONALA,0.4168,0.2957,0.5611
RSP,E14D7,JALISCO,TONALA,0.0125,0,0.0592
ES,E14D8,JALISCO,GUADALAJARA,0.0106,0,0.0732
MC,E14D8,JALISCO,GUADALAJARA,0.2188,0,0.4468
OTROS,E14D8,JALISCO,GUADALAJARA,0.0244,0,0.1075
PAN,E14D8,JALISCO,GUADALAJARA,0.3635,0.1494,0.6186
PVEM,E14D8,JALISCO,GUADALAJARA,0.3424,0.2338,0.4718
RSP,E14D8,JALISCO,GUADALAJARA,0.0042,0,0.0481
ES,E14D9,JALISCO,GUADALAJARA,0.0214,0,0.0707
MC,E14D9,JALISCO,GUADALAJARA,0.2543,0.0649,0.4799
OTROS,E14D9,JALISCO,GUADALAJARA,0.0250,0,0.0973
PRD,E14D9,JALISCO,GUADALAJARA,0.3053,0.0985,0.5516
PVEM,E14D9,JALISCO,GUADALAJARA,0.4101,0.2985,0.5431
RSP,E14D9,JALISCO,GUADALAJARA,0.0158,0,0.0543
ES,E14D10,JALISCO,ZAPOPAN,0.0222,0,0.0637
MC,E14D10,JALISCO,ZAPOPAN,0.2058,0.0532,0.3877
MORENA,E14D10,JALISCO,ZAPOPAN,0.3028,0.2238,0.3969
OTROS,E14D10,JALISCO,ZAPOPAN,0.0345,0,0.0885
PAN,E14D10,JALISCO,ZAPOPAN,0.4098,0.1813,0.6822
RSP,E14D10,JALISCO,ZAPOPAN,0.0013,0,0.0342
ES,E14D11,JALISCO,GUADALAJARA,0.0115,0,0.0605
MC,E14D11,JALISCO,GUADALAJARA,0.2804,0.0665,0.5352
MORENA,E14D11,JALISCO,GUADALAJARA,0.3841,0.2801,0.5079
OTROS,E14D11,JALISCO,GUADALAJARA,0.0217,0,0.0944
PRI,E14D11,JALISCO,GUADALAJARA,0.3076,0.0679,0.5931
RSP,E14D11,JALISCO,GUADALAJARA,0.0171,0,0.0378
ES,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.0054,0,0.0440
MC,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.3187,0.1250,0.5496
MORENA,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.3682,0.2998,0.4496
OTROS,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.0195,0,0.0631
PRD,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.2817,0.0759,0.5269
RSP,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.0050,0,0.0379
ES,E14D13,JALISCO,TLAQUEPAQUE,0.0134,0,0.0624
MC,E14D13,JALISCO,TLAQUEPAQUE,0.2518,0.0701,0.4683
MORENA,E14D13,JALISCO,TLAQUEPAQUE,0.3660,0.2628,0.4889
OTROS,E14D13,JALISCO,TLAQUEPAQUE,0.0311,0,0.1054
PAN,E14D13,JALISCO,TLAQUEPAQUE,0.3351,0.1367,0.5716
RSP,E14D13,JALISCO,TLAQUEPAQUE,0,0,0.0350469711381287
ES,E14D14,JALISCO,GUADALAJARA,0.0192,0,0.0657
MC,E14D14,JALISCO,GUADALAJARA,0.2848,0.0704,0.5403
OTROS,E14D14,JALISCO,GUADALAJARA,0.0232,0,0.0887
PRD,E14D14,JALISCO,GUADALAJARA,0.3192,0.0921,0.5898
PVEM,E14D14,JALISCO,GUADALAJARA,0.3860,0.2914,0.4987
RSP,E14D14,JALISCO,GUADALAJARA,0.0067,0,0.0302
ES,E14D15,JALISCO,LA BARCA,0.0329,0,0.0848
MC,E14D15,JALISCO,LA BARCA,0.1380,0.0592,0.2318
MORENA,E14D15,JALISCO,LA BARCA,0.3752,0.2534,0.5204
OTROS,E14D15,JALISCO,LA BARCA,0.0290,0,0.1019
PAN,E14D15,JALISCO,LA BARCA,0.3165,0.2022,0.4526
RSP,E14D15,JALISCO,LA BARCA,0.0189,0,0.0584
ES,E14D16,JALISCO,TLAQUEPAQUE,0.0167,0,0.0666
MC,E14D16,JALISCO,TLAQUEPAQUE,0.2188,0.0978,0.3630
MORENA,E14D16,JALISCO,TLAQUEPAQUE,0.4176,0.2995,0.5583
OTROS,E14D16,JALISCO,TLAQUEPAQUE,0.0312,0,0.1100
PRD,E14D16,JALISCO,TLAQUEPAQUE,0.2757,0.1322,0.4467
RSP,E14D16,JALISCO,TLAQUEPAQUE,0,0,0.0358130291625314
ES,E14D17,JALISCO,JOCOTEPEC,0.0225,0,0.0760
MC,E14D17,JALISCO,JOCOTEPEC,0.1946,0.0683,0.3451
MORENA,E14D17,JALISCO,JOCOTEPEC,0.3790,0.2733,0.5050
OTROS,E14D17,JALISCO,JOCOTEPEC,0.0176,0,0.0779
PRI,E14D17,JALISCO,JOCOTEPEC,0.3069,0.1601,0.4818
RSP,E14D17,JALISCO,JOCOTEPEC,0.0072,0,0.0479
ES,E14D18,JALISCO,AUTLAN DE NAVARRO,0,0,0.0610989427261927
MC,E14D18,JALISCO,AUTLAN DE NAVARRO,0.1610,0.0362,0.3096
MORENA,E14D18,JALISCO,AUTLAN DE NAVARRO,0.3646,0.2356,0.5184
OTROS,E14D18,JALISCO,AUTLAN DE NAVARRO,0.0343,0,0.1259
PRI,E14D18,JALISCO,AUTLAN DE NAVARRO,0.3397,0.1744,0.5367
RSP,E14D18,JALISCO,AUTLAN DE NAVARRO,0.0209,0,0.0456
ES,E14D19,JALISCO,CIUDAD GUZMAN,0.0091,0,0.0515
MC,E14D19,JALISCO,CIUDAD GUZMAN,0.1763,0.0585,0.3167
MORENA,E14D19,JALISCO,CIUDAD GUZMAN,0.4073,0.2819,0.5567
OTROS,E14D19,JALISCO,CIUDAD GUZMAN,0.0301,0,0.1006
PRD,E14D19,JALISCO,CIUDAD GUZMAN,0.3200,0.1570,0.5142
RSP,E14D19,JALISCO,CIUDAD GUZMAN,0.0324,0.0104,0.0587
ES,E14D20,JALISCO,TONALA,0.0106,0,0.0671
MC,E14D20,JALISCO,TONALA,0.2138,0.0852,0.3669
OTROS,E14D20,JALISCO,TONALA,0.0424,0,0.1307
PRI,E14D20,JALISCO,TONALA,0.2760,0.1283,0.4521
PT,E14D20,JALISCO,TONALA,0.3760,0.2591,0.5153
RSP,E14D20,JALISCO,TONALA,0.0099,0,0.0466
ES,E14D2,JALISCO,LAGOS DE MORENO,0,0,0.0643194441480902
MC,E14D2,JALISCO,LAGOS DE MORENO,0.1415,0.0253,0.2799
MORENA,E14D2,JALISCO,LAGOS DE MORENO,0.1803,0.1544,0.2112
OTROS,E14D2,JALISCO,LAGOS DE MORENO,0.0335,0,0.1189
PAN,E14D2,JALISCO,LAGOS DE MORENO,0.4434,0.2763,0.6425
PT,E14D2,JALISCO,LAGOS DE MORENO,0.0126,0.0022,0.0249
PVEM,E14D2,JALISCO,LAGOS DE MORENO,0.0983,0,0.2429
RSP,E14D2,JALISCO,LAGOS DE MORENO,0.0123,0,0.0589
ES,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.0011,0,0.0788
MC,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.1288,0,0.2634
MORENA,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.1530,0.1373,0.1716
OTROS,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.0309,0,0.1150
PAN,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.4976,0.3193,0.7101
PT,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.0151,0.0094,0.0219
PVEM,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.0808,0,0.2314
RSP,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.0007,0,0.0391
ES,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.0271,0,0.1074
MC,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.0520,0,0.1201
OTROS,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.0695,0,0.1660
PRI,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.4069,0.2679,0.5726
PVEM,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.4442,0.3038,0.6116
RSP,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,0.0522,0.0116,0.1007
ES,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.0359,0,0.1186
MC,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.0862,0.0667,0.1094
OTROS,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.0410,0,0.1035
PRD,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.3362,0.2244,0.4694
PT,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.4903,0.3762,0.6264
RSP,E15D2,MÉXICO,SANTA MARIA TULTEPEC,0.0327,0,0.0791
ES,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.0227,0,0.0929
MC,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.0346,0.0101,0.0637
OTROS,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.0701,0,0.1422
PRI,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.4095,0.2650,0.5817
PT,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.5051,0.3676,0.6689
RSP,E15D3,MÉXICO,ATLACOMULCO DE FABELA,0.0311,0,0.0642
ES,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.0274,0,0.0758
MC,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.0776,0.0657,0.0918
OTROS,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.0309,0,0.0742
PRD,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.2983,0.2020,0.4131
PVEM,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.5473,0.4644,0.6461
RSP,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,0.0427,0,0.0968
ES,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0390,0,0.0944
MC,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0379,0.0172,0.0626
OTROS,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0391,0,0.0882
PAN,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.4035,0.2199,0.6223
PT,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.4847,0.3932,0.5937
RSP,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0335,0,0.0687
ES,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0379,0,0.0853
MC,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0413,0.0230,0.0631
OTROS,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0380,0,0.0808
PAN,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.4223,0.2089,0.6765
PT,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.4757,0.3964,0.5701
RSP,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,0.0354,0.0058,0.0707
ES,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.0394,0,0.1131
MC,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.0336,0.0189,0.0512
MORENA,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.5158,0.3917,0.6636
OTROS,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.0496,0,0.1204
PAN,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.3870,0.2700,0.5265
RSP,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,0.0149,0,0.0416
ES,E15D26,MÉXICO,TOLUCA DE LERDO,0.0453,0,0.1422
MC,E15D26,MÉXICO,TOLUCA DE LERDO,0.0306,0.0101,0.0551
OTROS,E15D26,MÉXICO,TOLUCA DE LERDO,0.0604,0,0.1417
PRI,E15D26,MÉXICO,TOLUCA DE LERDO,0.4240,0.2893,0.5846
PVEM,E15D26,MÉXICO,TOLUCA DE LERDO,0.4839,0.3439,0.6507
RSP,E15D26,MÉXICO,TOLUCA DE LERDO,0.0215,0,0.0509
ES,E15D27,MÉXICO,METEPEC,0.0331,0,0.1141
MC,E15D27,MÉXICO,METEPEC,0.0288,0.0076,0.0541
OTROS,E15D27,MÉXICO,METEPEC,0.0513,0,0.1282
PRI,E15D27,MÉXICO,METEPEC,0.4123,0.2858,0.5631
PT,E15D27,MÉXICO,METEPEC,0.4888,0.3563,0.6466
RSP,E15D27,MÉXICO,METEPEC,0.0192,0,0.0456
ES,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.0326,0,0.0674
MC,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.1292,0.0641,0.2068
OTROS,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.0498,0.0265,0.0777
PRD,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.2669,0.1580,0.3966
PT,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.5730,0.4969,0.6638
RSP,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,0.0469,0,0.1296
ES,E15D34,MÉXICO,TOLUCA DE LERDO,0.0465,0,0.1361
MC,E15D34,MÉXICO,TOLUCA DE LERDO,0.0454,0.0243,0.0704
MORENA,E15D34,MÉXICO,TOLUCA DE LERDO,0.4666,0.3498,0.6058
OTROS,E15D34,MÉXICO,TOLUCA DE LERDO,0.0608,0,0.1524
PAN,E15D34,MÉXICO,TOLUCA DE LERDO,0.4230,0.2995,0.5703
RSP,E15D34,MÉXICO,TOLUCA DE LERDO,0.0159,0,0.0349
ES,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.0244,0,0.1026
MC,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.0417,0.0281,0.0580
MORENA,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.4960,0.3793,0.6352
OTROS,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.0566,0,0.1348
PRI,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.3813,0.2632,0.5219
RSP,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,0.0305,0.0123,0.0522
ES,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.0405,0,0.1244
MC,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.0508,0.0410,0.0624
OTROS,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.0378,0,0.1093
PRI,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.3163,0.1773,0.4820
PT,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.5633,0.4193,0.7348
RSP,E15D39,MÉXICO,LOS REYES ACAQUILPAN,0.0305,0,0.0722
ES,E15D41,MÉXICO,OJO DE AGUA,0.0335,0,0.1400
MC,E15D41,MÉXICO,OJO DE AGUA,0.0549,0.0455,0.0661
OTROS,E15D41,MÉXICO,OJO DE AGUA,0.0380,0,0.1297
PRI,E15D41,MÉXICO,OJO DE AGUA,0.3364,0.1890,0.5121
PVEM,E15D41,MÉXICO,OJO DE AGUA,0.5613,0.4179,0.7322
RSP,E15D41,MÉXICO,OJO DE AGUA,0.0286,0,0.0674
ES,E15D4,MÉXICO,NICOLAS ROMERO,0.0355,0,0.1185
MC,E15D4,MÉXICO,NICOLAS ROMERO,0.0330,0.0178,0.0510
MORENA,E15D4,MÉXICO,NICOLAS ROMERO,0.5284,0.4102,0.6693
OTROS,E15D4,MÉXICO,NICOLAS ROMERO,0.0407,0,0.0997
PAN,E15D4,MÉXICO,NICOLAS ROMERO,0.1846,0.1738,0.1975
PRD,E15D4,MÉXICO,NICOLAS ROMERO,0.0201,0.0053,0.0378
PRI,E15D4,MÉXICO,NICOLAS ROMERO,0.1508,0.0383,0.2848
RSP,E15D4,MÉXICO,NICOLAS ROMERO,0.0217,0,0.0463
ES,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.0245,0,0.1064
MC,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.0349,0.0281,0.0430
OTROS,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.0499,0,0.1374
PAN,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.1286,0.0899,0.1746
PRD,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.0547,0.0330,0.0806
PRI,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.1646,0.0593,0.2900
PT,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.5276,0.4143,0.6627
RSP,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,0.0280,0.0060,0.0543
ES,E15D12,MÉXICO,IXTAPALUCA,0.0284,0,0.1078
MC,E15D12,MÉXICO,IXTAPALUCA,0.0701,0.0216,0.1278
MORENA,E15D12,MÉXICO,IXTAPALUCA,0.5255,0.3793,0.6997
OTROS,E15D12,MÉXICO,IXTAPALUCA,0.0437,0,0.1104
PAN,E15D12,MÉXICO,IXTAPALUCA,0.0613,0,0.1419
PRD,E15D12,MÉXICO,IXTAPALUCA,0.0988,0.0392,0.1698
PRI,E15D12,MÉXICO,IXTAPALUCA,0.1823,0.0544,0.3347
RSP,E15D12,MÉXICO,IXTAPALUCA,0.0469,0,0.1189
ES,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.0364,0,0.1036
MC,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.0487,0.0351,0.0649
OTROS,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.0428,0,0.1154
PAN,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.1016,0.0680,0.1417
PRD,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.0439,0.0139,0.0797
PRI,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.1362,0.0328,0.2594
PT,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.5840,0.4710,0.7187
RSP,E15D16,MÉXICO,ECATEPEC DE MORELOS,0.0372,0.0078,0.0722
ES,E15D30,MÉXICO,CHIMALHUACAN,0.0208,0,0.0755
MC,E15D30,MÉXICO,CHIMALHUACAN,0.0808,0,0.1629
MORENA,E15D30,MÉXICO,CHIMALHUACAN,0.5185,0.4267,0.6278
OTROS,E15D30,MÉXICO,CHIMALHUACAN,0.0355,0,0.0875
PAN,E15D30,MÉXICO,CHIMALHUACAN,0.0292,0,0.1087
PRD,E15D30,MÉXICO,CHIMALHUACAN,0.1639,0.0587,0.2894
PRI,E15D30,MÉXICO,CHIMALHUACAN,0.1316,0.0487,0.2303
RSP,E15D30,MÉXICO,CHIMALHUACAN,0.0624,0,0.1529
ES,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0333,0,0.0971
MC,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0781,0.0542,0.1066
MORENA,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.4590,0.4469,0.4733
OTROS,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0398,0,0.0925
PAN,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.1046,0.0733,0.1417
PRD,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0768,0.0342,0.1276
PRI,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.1088,0.0293,0.2035
PT,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0265,0.0218,0.0321
PVEM,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0654,0,0.1663
RSP,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,0.0404,0.0108,0.0756
ES,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0414,0,0.1182
MC,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0561,0.0323,0.0846
MORENA,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.4688,0.4481,0.4935
OTROS,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0392,0,0.0955
PAN,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0799,0.0305,0.1388
PRD,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0729,0.0325,0.1210
PRI,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.1234,0.0312,0.2333
PT,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0284,0.0216,0.0365
PVEM,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0775,0,0.1969
RSP,E15D10,MÉXICO,ECATEPEC DE MORELOS,0.0440,0.0073,0.0877
ES,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0362,0,0.0915
MC,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0578,0.0305,0.0904
MORENA,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.4673,0.4473,0.4910
OTROS,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0403,0,0.0938
PAN,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0799,0.0364,0.1318
PRD,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0754,0.0339,0.1249
PRI,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.1279,0.0366,0.2367
PT,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0285,0.0224,0.0358
PVEM,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0810,0,0.2002
RSP,E15D11,MÉXICO,ECATEPEC DE MORELOS,0.0427,0,0.0862
ES,E15D13,MÉXICO,ECATEPEC DE MORELOS,0.0420,0,0.1104
MC,E15D13,MÉXICO,ECATEPEC DE MORELOS,0.0603,0.0328,0.0932
